Dataset,Encoding,File Size (Bytes),Avg. Write Time (s),Avg. Read Time (s),Avg CPU Load (%),RAM Delta (MB),data_loss
cjk_journey.txt,ascii,47697,0.0003288759929999969,1.0535191000030863e-05,94.2,0.0078125,True
cjk_journey.txt,utf-8,2236608,0.002139424065999947,0.0026349469769999133,94.0,5.1328125,
cjk_journey.txt,utf-16,1554670,0.0013361453380000513,0.0014999714479999966,91.7,1.4921875,
cjk_journey.txt,utf-32,3109340,0.0013042549550000332,0.0014284860329998991,86.7,5.08203125,
emoji-test.txt,ascii,580190,0.0004465639910000618,4.8587619999921114e-05,82.8,0.015625,True
emoji-test.txt,utf-8,640215,0.0006654600790000131,0.0005116899539999622,90.0,2.7265625,
emoji-test.txt,utf-16,1213104,0.0008854863230000092,0.001367596924000054,91.9,2.27734375,
emoji-test.txt,utf-32,2388124,0.0010620386739999504,0.0014345870419999755,86.9,0.0,
english.txt,ascii,860465,0.0007150012980000611,6.787966599995343e-05,83.0,0.00390625,True
english.txt,utf-8,874542,0.000718611205000002,0.000300609527000006,86.3,1.62109375,
english.txt,utf-16,1730346,0.000854074573000048,0.00015857582399996772,74.1,0.0,
english.txt,utf-32,3460692,0.001659066232999976,0.00046725152099998015,72.4,1.64453125,
multilingual.txt,ascii,22133,7.359982000002674e-05,9.42168500000662e-06,72.2,0.0078125,True
multilingual.txt,utf-8,22401,7.379465099995741e-05,2.4558064000075318e-05,91.5,0.3125,
multilingual.txt,utf-16,44496,8.157389400003012e-05,2.820561299995461e-05,81.9,0.01953125,
multilingual.txt,utf-32,88856,0.00010133880199998657,4.0050792000101865e-05,77.8,0.04296875,
